Return_ID,Order_ID,Return_Reason,Return_Date,Returned_Qty,Selling_Price,Discount_%,Refund_Amount
RET-365,ORD-3523,Quality Issue,2024-06-24,46,436.39,20%,"14,453.24"
RET-739,ORD-3526,Quality Issue,2024-07-02,58,267.17,10%,"12,551.65"
RET-1264,ORD-3537,Damaged,2024-11-15,7,257.44,20%,"1,297.50"
RET-1994,ORD-3547,Quality Issue,2024-09-04,25,380.39,5%,"8,130.84"
RET-1483,ORD-3548,Quality Issue,2024-06-05,56,674.02,0%,"33,970.61"
RET-168,ORD-3565,Quality Issue,2024-08-21,23,43.05,0%,891.14
RET-1798,ORD-3568,Quality Issue,2024-12-05,28,437.70,0%,"11,030.04"
RET-1199,ORD-3573,Quality Issue,2024-11-19,29,779.29,0%,"20,339.47"
RET-344,ORD-3575,Wrong Item,2024-09-29,14,478.04,0%,"6,023.30"
RET-993,ORD-3576,Late Delivery,2024-06-13,49,719.52,15%,"26,971.21"
RET-387,ORD-3577,Late Delivery,2024-07-18,94,442.45,10%,"33,688.14"
RET-190,ORD-3584,Quality Issue,2024-06-07,11,435.90,15%,"3,668.10"
RET-1042,ORD-3585,Damaged,2024-11-26,83,239.63,15%,"15,215.31"
RET-281,ORD-3591,Late Delivery,2024-02-12,11,56.83,5%,534.49
RET-1654,ORD-3607,Damaged,2024-07-13,29,104.91,15%,"2,327.43"
RET-1442,ORD-3611,Quality Issue,2024-07-06,38,242.60,10%,"7,467.23"
RET-345,ORD-3658,Quality Issue,2024-08-20,35,319.36,0%,"10,059.84"
RET-555,ORD-3662,Damaged,2024-02-15,54,511.36,5%,"23,609.49"
RET-487,ORD-3663,Quality Issue,2024-12-08,1,575.67,10%,466.29
RET-413,ORD-3669,Wrong Item,2024-05-14,60,173.16,15%,"7,948.04"
RET-1767,ORD-3674,Quality Issue,2024-02-24,73,169.31,5%,"10,567.48"
RET-1086,ORD-3685,Damaged,2024-08-22,2,114.17,15%,174.68
RET-61,ORD-3687,Damaged,2024-04-28,3,352.00,20%,760.32
RET-1826,ORD-3698,Late Delivery,2024-02-19,78,41.22,15%,"2,459.60"
RET-761,ORD-3716,Late Delivery,2024-06-15,42,330.18,0%,"12,480.80"
RET-1581,ORD-3726,Late Delivery,2024-12-31,20,370.46,5%,"6,334.87"
RET-1548,ORD-3727,Wrong Item,2024-07-15,43,234.56,5%,"8,623.60"
RET-897,ORD-3732,Late Delivery,2024-11-17,77,89.24,10%,"5,565.90"
RET-1444,ORD-3735,Damaged,2024-10-04,9,690.03,15%,"4,750.86"
RET-1354,ORD-3740,Late Delivery,2024-12-31,54,446.96,5%,"20,636.14"
RET-28,ORD-3744,Quality Issue,2024-10-30,60,585.04,20%,"25,273.73"
RET-93,ORD-3755,Late Delivery,2024-09-09,29,249.07,15%,"5,525.62"
RET-1382,ORD-3765,Late Delivery,2024-07-12,43,375.39,0%,"14,527.59"
RET-1847,ORD-3773,Late Delivery,2024-12-10,96,587.49,20%,"40,607.31"
RET-336,ORD-3795,Late Delivery,2024-02-12,14,350.30,15%,"3,751.71"
RET-1384,ORD-3808,Damaged,2024-02-22,14,801.29,20%,"8,077.00"
RET-1263,ORD-3822,Damaged,2024-06-29,22,49.53,5%,931.66
RET-1611,ORD-3846,Damaged,2024-12-10,57,85.16,5%,"4,150.27"
RET-1076,ORD-3852,Quality Issue,2024-12-31,49,490.93,15%,"18,402.51"
RET-1210,ORD-3862,Late Delivery,2024-03-16,92,185.78,20%,"12,306.07"
RET-1439,ORD-3867,Late Delivery,2024-10-20,76,12.45,15%,723.84
RET-902,ORD-3876,Late Delivery,2024-10-24,13,734.10,10%,"7,730.07"
RET-758,ORD-3891,Damaged,2024-04-08,62,49.98,15%,"2,370.55"
RET-1404,ORD-3893,Late Delivery,2024-08-29,53,240.76,5%,"10,910.04"
RET-1174,ORD-3914,Damaged,2024-12-26,99,594.11,20%,"42,348.16"
RET-1176,ORD-3916,Late Delivery,2024-08-06,74,489.03,10%,"29,312.46"
RET-792,ORD-3932,Damaged,2024-05-03,27,210.47,0%,"5,114.42"
RET-1328,ORD-3943,Wrong Item,2024-08-31,91,751.30,20%,"49,225.18"
RET-1811,ORD-3946,Late Delivery,2024-12-31,59,456.27,5%,"23,016.54"
RET-1525,ORD-3949,Late Delivery,2024-08-08,98,236.93,5%,"19,852.36"
RET-1409,ORD-3969,Quality Issue,2024-12-31,47,235.66,15%,"8,473.16"
RET-68,ORD-3974,Wrong Item,2024-12-31,76,293.26,20%,"16,047.19"
RET-921,ORD-3986,Wrong Item,2024-03-28,84,385.14,5%,"27,660.75"
RET-406,ORD-4002,Quality Issue,2024-07-08,74,386.27,10%,"23,153.02"
RET-171,ORD-4016,Late Delivery,2024-08-30,55,702.17,0%,"34,757.42"
RET-1305,ORD-4020,Late Delivery,2024-05-20,87,181.57,5%,"13,506.08"
RET-1906,ORD-4036,Wrong Item,2024-07-29,63,203.43,0%,"11,534.48"
RET-1795,ORD-4038,Late Delivery,2024-02-07,53,329.92,0%,"15,737.18"
RET-1726,ORD-4039,Late Delivery,2024-02-29,84,178.83,0%,"13,519.55"
RET-1743,ORD-4040,Wrong Item,2024-07-18,34,194.24,0%,"5,943.74"
RET-1330,ORD-4053,Damaged,2024-06-20,93,741.84,5%,"58,987.41"
RET-1242,ORD-4063,Damaged,2024-06-04,51,185.78,5%,"8,100.94"
RET-193,ORD-4064,Late Delivery,2024-06-08,17,435.24,10%,"5,993.25"
RET-590,ORD-4066,Wrong Item,2024-10-09,34,653.50,5%,"18,997.25"
RET-500,ORD-4081,Quality Issue,2024-07-27,39,14.91,10%,471.01
RET-1408,ORD-4089,Wrong Item,2024-12-31,59,51.04,5%,"2,574.71"
RET-1446,ORD-4096,Late Delivery,2024-02-22,96,666.57,5%,"54,712.07"
RET-1919,ORD-4115,Quality Issue,2024-12-31,98,712.24,20%,"50,255.65"
RET-875,ORD-4124,Late Delivery,2024-08-10,23,746.09,15%,"13,127.45"
RET-1498,ORD-4125,Quality Issue,2024-12-16,88,380.78,0%,"30,157.78"
RET-417,ORD-4148,Late Delivery,2024-03-01,2,358.39,10%,580.59
RET-791,ORD-4150,Late Delivery,2024-12-01,43,183.65,20%,"5,685.80"
RET-956,ORD-4151,Quality Issue,2024-12-31,2,129.11,15%,197.54
RET-654,ORD-4156,Quality Issue,2024-01-25,35,249.07,10%,"7,061.13"
RET-681,ORD-4164,Late Delivery,2024-03-12,88,59.63,10%,"4,250.43"
RET-1213,ORD-4171,Damaged,2024-04-14,36,39.77,5%,"1,224.12"
RET-1596,ORD-4175,Late Delivery,2024-10-26,88,490.93,10%,"34,993.49"
RET-1455,ORD-4177,Late Delivery,2024-08-30,63,357.71,15%,"17,239.83"
RET-269,ORD-4193,Damaged,2024-12-17,41,584.52,20%,"17,255.03"
RET-1368,ORD-4197,Quality Issue,2024-06-07,65,167.95,10%,"8,842.57"
RET-990,ORD-4203,Wrong Item,2024-10-02,98,566.47,10%,"44,966.39"
RET-737,ORD-4205,Damaged,2024-12-31,90,679.52,10%,"49,537.01"
RET-367,ORD-4232,Wrong Item,2024-12-02,36,37.90,0%,"1,227.96"
RET-782,ORD-4239,Wrong Item,2024-04-05,85,184.56,10%,"12,706.96"
RET-223,ORD-4249,Late Delivery,2024-04-10,62,256.68,5%,"13,606.61"
RET-23,ORD-4261,Quality Issue,2024-09-13,41,282.67,5%,"9,909.00"
RET-1147,ORD-4268,Damaged,2024-10-07,68,728.14,20%,"35,649.73"
RET-1063,ORD-4269,Late Delivery,2024-11-06,64,388.13,5%,"21,238.47"
RET-302,ORD-4288,Wrong Item,2024-11-08,83,570.31,10%,"38,341.94"
RET-285,ORD-4335,Wrong Item,2024-02-04,95,234.56,10%,"18,049.39"
RET-1891,ORD-4338,Late Delivery,2024-07-24,48,259.45,15%,"9,527.00"
RET-1093,ORD-4340,Quality Issue,2024-09-03,78,367.50,5%,"24,508.58"
RET-870,ORD-4366,Damaged,2024-07-25,82,347.67,5%,"24,375.14"
RET-1982,ORD-4397,Wrong Item,2024-12-07,56,36.66,0%,"1,847.66"
RET-1841,ORD-4401,Wrong Item,2024-10-30,56,625.33,15%,"26,789.14"
RET-22,ORD-4420,Wrong Item,2024-05-28,27,40.36,10%,882.67
RET-961,ORD-4458,Late Delivery,2024-02-06,71,580.94,5%,"35,265.96"
RET-1884,ORD-4459,Damaged,2024-02-02,97,254.00,10%,"19,956.78"
RET-521,ORD-4462,Quality Issue,2024-12-04,77,583.29,10%,"36,379.80"
RET-126,ORD-4471,Quality Issue,2024-07-14,32,256.68,15%,"6,283.53"
RET-959,ORD-4479,Wrong Item,2024-12-31,45,602.62,10%,"21,965.50"
RET-1399,ORD-4491,Wrong Item,2024-12-01,45,237.59,15%,"8,179.04"
RET-898,ORD-4492,Damaged,2024-12-23,10,351.67,20%,"2,532.02"
RET-1476,ORD-4519,Damaged,2024-03-24,28,56.11,20%,"1,131.18"
RET-238,ORD-4531,Late Delivery,2024-06-11,49,712.24,15%,"26,698.32"
RET-871,ORD-4539,Damaged,2024-12-31,78,161.80,0%,"11,358.36"
RET-433,ORD-4546,Late Delivery,2024-01-31,83,261.46,0%,"19,531.06"
RET-814,ORD-4547,Damaged,2024-10-01,55,185.78,10%,"8,276.50"
RET-1835,ORD-4560,Damaged,2024-12-22,69,225.88,5%,"13,325.79"
RET-1056,ORD-4585,Wrong Item,2024-08-29,78,229.15,20%,"12,869.06"
RET-1322,ORD-4604,Wrong Item,2024-11-21,2,174.34,20%,251.05
RET-194,ORD-4605,Damaged,2024-05-09,35,142.04,0%,"4,474.26"
RET-26,ORD-4629,Wrong Item,2024-02-21,56,437.22,0%,"22,035.89"
RET-1590,ORD-4630,Damaged,2024-08-22,76,271.03,5%,"17,611.53"
RET-756,ORD-4634,Wrong Item,2024-05-15,97,446.96,10%,"35,117.65"
RET-1490,ORD-4640,Late Delivery,2024-09-01,58,431.16,20%,"18,005.24"
RET-1226,ORD-4642,Wrong Item,2024-12-16,59,370.46,10%,"17,704.28"
RET-916,ORD-4650,Late Delivery,2024-05-29,33,437.22,10%,"11,686.89"
RET-1594,ORD-4657,Quality Issue,2024-06-14,16,192.92,5%,"2,639.15"
RET-1475,ORD-4671,Quality Issue,2024-04-30,52,299.72,0%,"14,026.90"
RET-1312,ORD-4676,Wrong Item,2024-08-18,55,44.28,15%,"1,863.08"
RET-1981,ORD-4685,Damaged,2024-05-06,78,124.91,5%,"8,330.25"
RET-1716,ORD-4706,Late Delivery,2024-03-05,91,85.16,0%,"6,974.60"
RET-36,ORD-4707,Quality Issue,2024-05-16,33,111.54,0%,"3,312.74"
RET-13,ORD-4715,Wrong Item,2024-01-13,75,151.46,20%,"8,178.84"
RET-912,ORD-4723,Wrong Item,2024-08-20,15,100.66,10%,"1,223.02"
RET-247,ORD-4724,Late Delivery,2024-03-25,10,128.29,15%,981.42
RET-578,ORD-4732,Quality Issue,2024-10-26,49,136.19,20%,"4,804.78"
RET-1605,ORD-4765,Late Delivery,2024-05-02,6,203.81,5%,"1,045.55"
RET-1913,ORD-4774,Quality Issue,2024-08-24,41,490.93,0%,"18,115.32"
RET-1462,ORD-4782,Quality Issue,2024-12-31,63,719.95,5%,"38,780.11"
RET-1487,ORD-4785,Quality Issue,2024-11-07,31,563.69,5%,"14,940.60"
RET-1770,ORD-4797,Late Delivery,2024-01-30,61,410.28,0%,"22,524.37"
RET-515,ORD-4799,Quality Issue,2024-04-12,64,601.32,5%,"32,904.23"
RET-235,ORD-4811,Quality Issue,2024-04-04,38,499.21,10%,"15,365.68"
RET-343,ORD-4835,Quality Issue,2024-09-14,84,403.56,15%,"25,932.77"
RET-249,ORD-4863,Quality Issue,2024-01-12,53,175.01,10%,"7,513.18"
RET-1240,ORD-4865,Late Delivery,2024-05-17,15,161.80,10%,"1,965.87"
RET-111,ORD-4884,Damaged,2024-11-09,50,672.05,0%,"30,242.25"
RET-1794,ORD-4891,Quality Issue,2024-08-15,54,489.03,15%,"20,201.83"
RET-355,ORD-4892,Late Delivery,2024-11-06,73,740.96,20%,"38,944.86"
RET-1357,ORD-4897,Wrong Item,2024-05-28,90,522.24,5%,"40,186.37"
RET-59,ORD-4908,Damaged,2024-04-03,38,730.41,20%,"19,984.02"
RET-100,ORD-4926,Quality Issue,2024-10-23,9,148.15,15%,"1,020.01"
RET-1828,ORD-4942,Quality Issue,2024-06-13,29,710.40,15%,"15,760.22"
RET-1556,ORD-4945,Damaged,2024-10-18,31,165.75,10%,"4,161.98"
RET-1888,ORD-4951,Damaged,2024-09-10,10,240.12,15%,"1,836.92"
RET-1474,ORD-4968,Late Delivery,2024-07-03,46,688.20,15%,"24,217.76"
RET-1202,ORD-4969,Wrong Item,2024-12-28,45,854.81,5%,"32,888.81"
RET-422,ORD-4983,Late Delivery,2024-03-24,45,55.29,15%,"1,903.36"
RET-1319,ORD-4987,Wrong Item,2024-02-07,65,101.94,0%,"5,963.49"
RET-695,ORD-4994,Quality Issue,2024-11-13,48,200.33,20%,"6,923.40"
RET-1687,ORD-5009,Damaged,2024-11-17,86,430.68,15%,"28,334.44"
RET-1618,ORD-5027,Late Delivery,2024-01-26,32,374.03,0%,"10,772.06"
RET-1222,ORD-5030,Quality Issue,2024-03-23,15,180.53,15%,"2,071.58"
RET-1539,ORD-5035,Wrong Item,2024-02-25,70,40.36,5%,"2,415.55"
RET-773,ORD-5048,Wrong Item,2024-05-29,54,519.23,20%,"20,187.66"
RET-1040,ORD-5072,Wrong Item,2024-10-24,49,393.05,10%,"15,600.15"
RET-517,ORD-5074,Damaged,2024-12-11,72,514.80,5%,"31,691.09"
RET-627,ORD-5080,Quality Issue,2024-08-03,61,170.96,10%,"8,447.13"
RET-423,ORD-5085,Wrong Item,2024-12-31,69,539.20,15%,"28,461.67"
RET-1196,ORD-5089,Damaged,2024-02-29,32,149.77,0%,"4,313.38"
RET-1599,ORD-5102,Damaged,2024-09-30,67,440.59,20%,"21,254.06"
RET-1366,ORD-5108,Quality Issue,2024-10-18,88,350.11,0%,"27,728.71"
RET-146,ORD-5115,Quality Issue,2024-09-05,17,418.34,10%,"5,760.54"
RET-425,ORD-5128,Quality Issue,2024-06-18,95,12.45,15%,904.80
RET-201,ORD-5130,Quality Issue,2024-09-27,13,386.25,5%,"4,293.17"
RET-978,ORD-5138,Late Delivery,2024-09-24,12,190.26,10%,"1,849.33"
RET-1138,ORD-5143,Quality Issue,2024-04-12,79,36.66,10%,"2,345.87"
RET-832,ORD-5153,Late Delivery,2024-11-23,11,438.16,20%,"3,470.23"
RET-670,ORD-5157,Late Delivery,2024-11-25,56,545.90,5%,"26,137.69"
RET-1450,ORD-5162,Quality Issue,2024-07-08,38,153.36,20%,"4,195.93"
RET-112,ORD-5180,Quality Issue,2024-11-04,90,419.68,0%,"33,994.08"
RET-96,ORD-5181,Quality Issue,2024-01-23,71,156.60,15%,"8,505.73"
RET-852,ORD-5182,Quality Issue,2024-11-13,23,300.13,20%,"4,970.15"
RET-1129,ORD-5195,Wrong Item,2024-09-05,72,170.75,5%,"10,511.37"
RET-842,ORD-5203,Late Delivery,2024-04-06,7,210.47,15%,"1,127.07"
RET-1389,ORD-5219,Quality Issue,2024-12-20,69,646.65,20%,"32,125.57"
RET-1998,ORD-5232,Quality Issue,2024-12-31,15,595.96,0%,"8,045.46"
RET-189,ORD-5236,Late Delivery,2024-11-24,14,134.94,20%,"1,360.20"
RET-463,ORD-5241,Damaged,2024-08-03,30,555.06,15%,"12,738.63"
RET-1963,ORD-5247,Quality Issue,2024-06-24,97,365.60,10%,"28,725.19"
RET-1060,ORD-5259,Wrong Item,2024-07-20,47,234.34,0%,"9,912.58"
RET-1934,ORD-5263,Late Delivery,2024-11-20,54,39.94,15%,"1,649.92"
RET-1709,ORD-5266,Wrong Item,2024-08-30,43,352.00,20%,"10,897.92"
RET-481,ORD-5269,Late Delivery,2024-12-26,71,293.03,20%,"14,979.69"
RET-203,ORD-5270,Quality Issue,2024-05-25,70,440.41,0%,"27,745.83"
RET-1259,ORD-5274,Quality Issue,2024-06-03,42,417.74,10%,"14,211.51"
RET-1369,ORD-5283,Late Delivery,2024-08-04,52,283.44,5%,"12,601.74"
RET-239,ORD-5288,Wrong Item,2024-04-21,38,271.03,10%,"8,342.30"
RET-849,ORD-5305,Wrong Item,2024-05-31,16,206.09,15%,"2,522.54"
RET-621,ORD-5310,Quality Issue,2024-10-17,16,267.17,0%,"3,847.25"
RET-304,ORD-5328,Wrong Item,2024-09-16,40,198.54,0%,"7,147.44"
RET-132,ORD-5331,Late Delivery,2024-11-12,80,57.76,15%,"3,534.91"
RET-212,ORD-5334,Wrong Item,2024-08-14,97,178.61,0%,"15,592.65"
RET-31,ORD-5343,Late Delivery,2024-03-08,57,198.79,5%,"9,688.03"
RET-789,ORD-5362,Quality Issue,2024-12-22,60,484.93,5%,"24,876.91"
RET-499,ORD-5387,Late Delivery,2024-11-01,23,25.22,20%,417.64
RET-1815,ORD-5394,Late Delivery,2024-11-18,61,256.72,0%,"14,093.93"
RET-1970,ORD-5405,Quality Issue,2024-12-03,41,268.07,10%,"8,902.60"
RET-1070,ORD-5406,Damaged,2024-06-23,84,559.21,15%,"35,934.83"
RET-1094,ORD-5411,Quality Issue,2024-09-28,16,285.20,10%,"3,696.19"
RET-1277,ORD-5414,Late Delivery,2024-08-12,98,145.20,0%,"12,806.64"
RET-1391,ORD-5433,Quality Issue,2024-12-31,18,248.07,10%,"3,616.86"
RET-245,ORD-5437,Quality Issue,2024-07-24,70,495.58,0%,"31,221.54"
RET-1710,ORD-5479,Wrong Item,2024-05-21,52,162.72,5%,"7,234.53"
RET-1133,ORD-5483,Wrong Item,2024-12-31,9,664.69,0%,"5,383.99"
RET-1597,ORD-5513,Wrong Item,2024-05-07,59,190.26,10%,"9,092.53"
RET-1454,ORD-5530,Wrong Item,2024-06-11,24,825.79,20%,"14,269.65"
RET-1035,ORD-5541,Wrong Item,2024-06-09,59,465.09,15%,"20,991.84"
RET-822,ORD-5542,Wrong Item,2024-10-15,65,395.83,5%,"21,998.25"
RET-1995,ORD-5549,Damaged,2024-11-21,63,544.38,15%,"26,236.39"
RET-1197,ORD-5557,Late Delivery,2024-09-15,26,216.26,15%,"4,301.41"
RET-720,ORD-5558,Quality Issue,2024-09-05,77,237.59,15%,"13,995.24"
RET-522,ORD-5565,Quality Issue,2024-11-02,84,438.16,20%,"26,499.92"
RET-1950,ORD-5570,Quality Issue,2024-06-26,5,282.01,20%,"1,015.24"
RET-1749,ORD-5573,Late Delivery,2024-05-03,90,351.67,20%,"22,788.22"
RET-963,ORD-5576,Wrong Item,2024-08-12,51,572.09,0%,"26,258.93"
RET-1545,ORD-5592,Quality Issue,2024-02-01,88,288.32,0%,"22,834.94"
RET-1317,ORD-5606,Damaged,2024-02-02,55,321.15,0%,"15,896.93"
RET-1758,ORD-5609,Wrong Item,2024-07-12,7,728.14,15%,"3,899.19"
RET-1351,ORD-5611,Wrong Item,2024-10-02,9,690.42,20%,"4,473.92"
RET-1318,ORD-5623,Damaged,2024-06-06,10,177.51,5%,"1,517.71"
RET-1139,ORD-5631,Damaged,2024-04-12,23,428.73,15%,"7,543.50"
RET-1004,ORD-5639,Late Delivery,2024-11-13,7,398.48,10%,"2,259.38"
RET-602,ORD-5645,Late Delivery,2024-11-17,20,553.95,0%,"9,971.10"
RET-165,ORD-5652,Quality Issue,2024-07-08,8,513.12,10%,"3,325.02"
RET-1659,ORD-5656,Damaged,2024-10-23,57,60.62,10%,"2,798.83"
RET-363,ORD-5665,Quality Issue,2024-05-14,34,719.95,10%,"19,827.42"
RET-786,ORD-5669,Late Delivery,2024-09-19,3,653.50,10%,"1,588.01"
RET-512,ORD-5684,Wrong Item,2024-12-30,26,562.53,5%,"12,505.04"
RET-1289,ORD-5738,Damaged,2024-08-17,1,183.65,15%,140.49
RET-874,ORD-5753,Quality Issue,2024-07-13,83,51.26,15%,"3,254.75"
RET-1296,ORD-5775,Wrong Item,2024-09-16,64,424.71,10%,"22,016.97"
RET-865,ORD-5789,Quality Issue,2024-12-31,19,751.60,20%,"10,281.89"
RET-1251,ORD-5790,Wrong Item,2024-08-29,36,394.76,0%,"12,790.22"
RET-513,ORD-5798,Damaged,2024-04-21,71,185.65,20%,"9,490.43"
RET-880,ORD-5808,Wrong Item,2024-03-01,60,490.93,0%,"26,510.22"
RET-87,ORD-5816,Late Delivery,2024-01-30,52,112.45,5%,"4,999.53"
RET-643,ORD-5833,Quality Issue,2024-09-22,13,155.60,20%,"1,456.42"
RET-208,ORD-5845,Quality Issue,2024-02-12,83,774.78,10%,"52,088.46"
RET-1290,ORD-5862,Quality Issue,2024-10-27,90,865.47,0%,"70,103.07"
RET-1440,ORD-5863,Quality Issue,2024-02-20,62,91.98,10%,"4,619.24"
RET-783,ORD-5864,Quality Issue,2024-08-18,30,219.51,0%,"5,926.77"
RET-714,ORD-5867,Wrong Item,2024-12-20,82,398.48,15%,"24,996.65"
RET-1140,ORD-5888,Late Delivery,2024-04-06,99,383.12,20%,"27,308.79"
RET-310,ORD-5896,Quality Issue,2024-08-18,14,462.97,0%,"5,833.42"
RET-943,ORD-5900,Late Delivery,2024-11-13,69,517.35,20%,"25,701.95"
RET-1876,ORD-5906,Wrong Item,2024-11-19,35,371.10,10%,"10,520.69"
RET-123,ORD-5916,Late Delivery,2024-06-04,17,56.72,0%,867.82
RET-915,ORD-5917,Damaged,2024-02-22,29,257.44,15%,"5,711.31"
RET-748,ORD-5931,Damaged,2024-05-10,34,236.93,0%,"7,250.06"
RET-37,ORD-5989,Late Delivery,2024-10-07,50,544.38,10%,"22,047.39"
RET-349,ORD-5996,Wrong Item,2024-03-26,1,154.16,10%,124.87
RET-381,ORD-6001,Damaged,2024-07-08,29,401.62,5%,"9,958.17"
RET-291,ORD-6014,Late Delivery,2024-10-02,84,36.59,20%,"2,212.96"
RET-1718,ORD-6040,Quality Issue,2024-04-03,41,736.44,20%,"21,739.71"
RET-1843,ORD-6056,Quality Issue,2024-05-21,39,532.22,10%,"16,812.83"
RET-332,ORD-6058,Late Delivery,2024-07-21,85,650.49,0%,"49,762.49"
RET-1754,ORD-6069,Wrong Item,2024-05-25,64,549.81,15%,"26,918.70"
RET-879,ORD-6083,Late Delivery,2024-05-12,20,715.75,20%,"10,306.80"
RET-1641,ORD-6094,Late Delivery,2024-06-15,1,173.13,20%,124.65
RET-1183,ORD-6101,Late Delivery,2024-07-04,65,240.76,15%,"11,971.79"
RET-970,ORD-6124,Damaged,2024-07-24,50,587.49,5%,"25,115.20"
RET-933,ORD-6126,Late Delivery,2024-10-29,92,225.88,5%,"17,767.72"
RET-43,ORD-6132,Late Delivery,2024-09-12,45,16.50,15%,568.01
RET-137,ORD-6134,Wrong Item,2024-07-22,5,503.04,10%,"2,037.31"
RET-568,ORD-6141,Damaged,2024-04-02,15,210.59,10%,"2,558.67"
RET-1435,ORD-6147,Damaged,2024-04-28,36,689.64,20%,"17,875.47"
RET-1028,ORD-6152,Damaged,2024-05-24,42,236.93,5%,"8,508.16"
RET-297,ORD-6166,Wrong Item,2024-07-19,42,334.27,20%,"10,108.32"
RET-1560,ORD-6167,Damaged,2024-10-15,26,570.31,0%,"13,345.25"
RET-1350,ORD-6171,Late Delivery,2024-06-17,48,61.10,15%,"2,243.59"
RET-1617,ORD-6176,Damaged,2024-07-27,71,281.12,10%,"16,167.21"
RET-1902,ORD-6182,Damaged,2024-05-10,34,36.87,15%,958.99
RET-1478,ORD-6183,Late Delivery,2024-03-07,27,266.48,15%,"5,504.14"
RET-1553,ORD-6186,Damaged,2024-03-18,41,185.78,5%,"6,512.52"
RET-1410,ORD-6209,Wrong Item,2024-07-11,43,626.12,20%,"19,384.68"
RET-1262,ORD-6221,Damaged,2024-11-03,56,18.75,15%,803.25
RET-1903,ORD-6224,Damaged,2024-09-24,64,300.96,15%,"14,735.00"
RET-1565,ORD-6240,Damaged,2024-09-18,10,694.01,5%,"5,933.79"
RET-48,ORD-6249,Damaged,2024-12-31,17,26.62,10%,366.56
RET-1948,ORD-6262,Wrong Item,2024-08-08,39,320.85,15%,"9,572.56"
RET-429,ORD-6267,Quality Issue,2024-06-18,87,543.27,0%,"42,538.04"
RET-1512,ORD-6278,Damaged,2024-08-03,28,113.26,5%,"2,711.44"
RET-889,ORD-6290,Damaged,2024-04-28,47,59.63,5%,"2,396.23"
RET-992,ORD-6291,Late Delivery,2024-07-24,42,798.91,0%,"30,198.80"
RET-1912,ORD-6293,Wrong Item,2024-03-29,75,173.16,15%,"9,935.06"
RET-1533,ORD-6299,Late Delivery,2024-02-16,32,251.27,0%,"7,236.58"
RET-333,ORD-6317,Late Delivery,2024-12-09,71,239.63,5%,"14,546.74"
RET-1172,ORD-6319,Wrong Item,2024-06-29,31,71.55,0%,"1,996.25"
RET-1002,ORD-6336,Late Delivery,2024-06-30,42,258.47,15%,"8,304.64"
RET-17,ORD-6338,Quality Issue,2024-07-16,33,256.72,5%,"7,243.35"
RET-1015,ORD-6356,Damaged,2024-07-07,19,216.26,5%,"3,513.14"
RET-1674,ORD-6362,Wrong Item,2024-10-04,64,16.50,20%,760.32
RET-1693,ORD-6364,Quality Issue,2024-01-19,91,235.66,10%,"17,370.50"
RET-1425,ORD-6372,Damaged,2024-03-24,73,386.27,15%,"21,571.25"
RET-1452,ORD-6394,Late Delivery,2024-07-11,32,594.11,15%,"14,543.81"
RET-140,ORD-6412,Late Delivery,2024-12-09,99,607.75,5%,"51,443.00"
RET-78,ORD-6420,Damaged,2024-07-25,98,322.08,0%,"28,407.46"
RET-954,ORD-6422,Quality Issue,2024-10-22,57,112.57,20%,"4,619.87"
RET-1559,ORD-6423,Quality Issue,2024-12-12,3,343.04,10%,833.59
RET-1685,ORD-6428,Damaged,2024-11-04,81,284.33,5%,"19,691.27"
RET-1513,ORD-6433,Late Delivery,2024-06-18,86,37.82,0%,"2,927.27"
RET-1282,ORD-6434,Late Delivery,2024-06-07,48,514.11,5%,"21,099.07"
RET-479,ORD-6451,Wrong Item,2024-07-17,2,184.47,15%,282.24
RET-1609,ORD-6460,Wrong Item,2024-07-02,34,601.32,0%,"18,400.39"
RET-44,ORD-6495,Damaged,2024-12-27,56,25.01,15%,"1,071.43"
RET-295,ORD-6504,Quality Issue,2024-05-13,2,143.21,10%,232.00
RET-632,ORD-6511,Late Delivery,2024-02-22,51,353.05,20%,"12,964.00"
RET-282,ORD-6551,Damaged,2024-04-09,17,81.87,20%,"1,002.09"
RET-840,ORD-6569,Wrong Item,2024-12-05,16,398.48,15%,"4,877.40"
RET-1427,ORD-6591,Damaged,2024-09-09,54,530.92,10%,"23,222.44"
RET-816,ORD-6617,Wrong Item,2024-12-01,33,485.94,5%,"13,710.80"
RET-1676,ORD-6629,Late Delivery,2024-10-24,45,702.17,0%,"28,437.89"
RET-1104,ORD-6649,Wrong Item,2024-04-28,25,56.83,10%,"1,150.81"
RET-563,ORD-6650,Wrong Item,2024-07-15,10,114.15,0%,"1,027.35"
RET-1702,ORD-6656,Quality Issue,2024-07-07,4,781.47,10%,"2,531.96"
RET-251,ORD-6665,Damaged,2024-02-27,16,184.90,5%,"2,529.43"
RET-1917,ORD-6685,Quality Issue,2024-11-21,88,600.45,5%,"45,177.86"
RET-1327,ORD-6728,Quality Issue,2024-12-22,8,152.82,20%,880.24
RET-930,ORD-6737,Late Delivery,2024-04-01,57,394.84,15%,"17,217.00"
RET-1625,ORD-6742,Quality Issue,2024-10-09,8,823.25,5%,"5,631.03"
RET-1586,ORD-6765,Late Delivery,2024-03-27,74,46.30,5%,"2,929.40"
RET-633,ORD-6769,Late Delivery,2024-09-28,62,267.73,20%,"11,951.47"
RET-228,ORD-6776,Late Delivery,2024-11-26,57,570.31,15%,"24,868.37"
